2.85,1.2188,-0.46735,0.025997,0.95405,-0.01649,-0.015482,52.436,52.435,0,0
2.9,1.2668,-0.46751,0.025227,0.96616,-0.016103,-0.015312,52.441,52.44,0,0
2.95,1.3154,-0.46763,0.024465,0.97788,-0.015793,-0.015155,52.444,52.443,0,0
3,1.3646,-0.46773,0.023711,0.98923,-0.01555,-0.015012,52.447,52.447,0,0
3.05,1.4143,-0.46779,0.022964,1.0002,-0.015367,-0.014881,52.45,52.45,0,0
3.1,1.4646,-0.46783,0.022223,1.0108,-0.015236,-0.014763,52.453,52.452,0,0
3.15,1.5154,-0.46786,0.021487,1.021,-0.015151,-0.014657,52.455,52.455,0,0
3.2,1.5667,-0.46786,0.020757,1.0309,-0.015107,-0.014561,52.457,52.457,0,0
3.25,1.6185,-0.46785,0.020031,1.0404,-0.015098,-0.014476,52.459,52.458,0,0
3.3,1.6707,-0.46782,0.019309,1.0495,-0.01512,-0.014399,52.46,52.46,0,0
3.35,1.7234,-0.46779,0.018591,1.0582,-0.015168,-0.014329,52.462,52.461,0,0
3.4,1.7765,-0.46774,0.017876,1.0666,-0.015239,-0.014267,52.463,52.463,0,0
3.45,1.8301,-0.46768,0.017164,1.0747,-0.01533,-0.01421,52.464,52.464,0,0
3.5,1.884,-0.46762,0.016455,1.0824,-0.015438,-0.014157,52.465,52.465,0,0
3.55,1.9383,-0.46755,0.015748,1.0897,-0.015559,-0.014108,52.466,52.466,0,0
3.6,1.993,-0.46748,0.015044,1.0967,-0.015692,-0.014062,52.467,52.466,0,0
3.65,2.048,-0.4674,0.014342,1.1033,-0.015834,-0.014018,52.467,52.467,0,0
3.7,2.1033,-0.46732,0.013642,1.1096,-0.015983,-0.013975,52.468,52.468,0,0
3.75,2.1589,-0.46724,0.012944,1.1155,-0.016138,-0.013932,52.469,52.468,0,0
3.8,2.2148,-0.46716,0.012249,1.1211,-0.016296,-0.013888,52.469,52.469,0,0
3.85,2.271,-0.46707,0.011556,1.1264,-0.016457,-0.013844,52.47,52.469,0,0
3.9,2.3275,-0.46699,0.010864,1.1313,-0.016619,-0.013798,52.47,52.47,0,0
3.95,2.3842,-0.46691,0.010176,1.1358,-0.01678,-0.013749,52.47,52.47,0,0
4,2.4411,-0.46682,0.0094896,1.14,-0.016941,-0.013699,52.471,52.47,0,0
4.05,2.4982,-0.46674,0.008806,1.1439,-0.017099,-0.013645,52.471,52.471,0,0
4.1,2.5554,-0.46666,0.0081251,1.1474,-0.017254,-0.013589,52.471,52.471,0,0
4.15,2.6129,-0.46658,0.0074472,1.1506,-0.017405,-0.013529,52.471,52.471,0,0
4.2,2.6705,-0.46651,0.0067723,1.1534,-0.017552,-0.013466,52.472,52.471,0,0
4.25,2.7282,-0.46643,0.0061007,1.156,-0.017693,-0.013399,52.472,52.471,0,0
4.3,2.7861,-0.46637,0.0054325,1.1582,-0.017829,-0.013328,52.472,52.472,0,0
4.35,2.844,-0.4663,0.0047679,1.16,-0.017958,-0.013254,52.472,52.472,0,0
4.4,2.9021,-0.46624,0.0041072,1.1616,-0.018081,-0.013176,52.472,52.472,0,0
4.45,2.9602,-0.46618,0.0034504,1.1628,-0.018196,-0.013094,52.473,52.472,0,0
4.5,3.0183,-0.46612,0.0027979,1.1637,-0.018304,-0.013008,52.473,52.472,0,0
4.55,3.0765,-0.46607,0.0021497,1.1642,-0.018404,-0.012919,52.473,52.472,0,0
4.6,3.1348,-0.46602,0.0015061,1.1645,-0.018496,-0.012826,52.473,52.473,0,0
4.65,3.193,-0.46598,0.00086719,1.1644,-0.018579,-0.012729,52.473,52.473,0,0
4.7,3.2512,-0.46594,0.00023322,1.164,-0.018654,-0.012629,52.473,52.473,0,0
4.75,3.3094,-0.46591,-0.00039566,1.1634,-0.01872,-0.012526,52.473,52.473,0,0
4.8,3.3675,-0.46588,-0.0010193,1.1624,-0.018777,-0.012419,52.474,52.473,0,0
4.85,3.4256,-0.46585,-0.0016375,1.1611,-0.018825,-0.01231,52.474,52.473,0,0
4.9,3.4836,-0.46583,-0.0022502,1.1595,-0.018864,-0.012197,52.474,52.473,0,0
4.95,3.5416,-0.46582,-0.0028572,1.1576,-0.018894,-0.012081,52.474,52.473,0,0
5,3.5994,-0.4658,-0.0034583,1.1554,-0.018914,-0.011963,52.474,52.473,0,0
5.05,3.6571,-0.4658,-0.0040534,1.1529,-0.018926,-0.011842,52.474,52.474,0,0
5.1,3.7147,-0.4658,-0.0046424,1.1502,-0.018927,-0.011719,52.474,52.474,0,0
5.15,3.7721,-0.4658,-0.0052252,1.1471,-0.01892,-0.011593,52.474,52.474,0,0
5.2,3.8294,-0.46581,-0.0058016,1.1438,-0.018903,-0.011464,52.475,52.474,0,0
5.25,3.8865,-0.46582,-0.0063716,1.1402,-0.018877,-0.011334,52.475,52.474,0,0
5.3,3.9434,-0.46583,-0.006935,1.1363,-0.018842,-0.011201,52.475,52.474,0,0
5.35,4.0001,-0.46585,-0.0074917,1.1321,-0.018798,-0.011067,52.475,52.474,0,0
5.4,4.0566,-0.46588,-0.0080416,1.1277,-0.018744,-0.01093,52.475,52.474,0,0
5.45,4.1129,-0.46591,-0.0085846,1.123,-0.018682,-0.010792,52.475,52.474,0,0
5.5,4.1689,-0.46594,-0.0091207,1.1181,-0.018611,-0.010652,52.475,52.474,0,0
5.55,4.2247,-0.46598,-0.0096498,1.1129,-0.018531,-0.01051,52.475,52.475,0,0
5.6,4.2802,-0.46603,-0.010172,1.1075,-0.018443,-0.010367,52.475,52.475,0,0
5.65,4.3354,-0.46607,-0.010686,1.1018,-0.018346,-0.010222,52.476,52.475,0,0
5.7,4.3904,-0.46613,-0.011194,1.0958,-0.018241,-0.010076,52.476,52.475,0,0
